,accuracy,n_estimators,max_features,max_depth,criterion,n_jobs
413,0.7107173356105893,334,0.75,76.0,gini,-1
414,0.7032450896669513,633,0.9,35.0,gini,-1
415,0.6979077711357814,126,0.55,12.0,gini,-1
416,0.7013236549957301,95,0.8,85.0,gini,-1
417,0.7158411614005123,267,0.85,41.0,entropy,-1
418,0.7115713065755764,380,0.55,43.0,entropy,-1
419,0.7017506404782238,463,0.65,89.0,entropy,-1
420,0.6968403074295474,142,0.95,36.0,gini,-1
421,0.6883005977796754,21,0.75,91.0,entropy,-1
422,0.6989752348420154,330,0.9,86.0,gini,-1
423,0.7113578138343296,535,0.6,60.0,gini,-1
424,0.6979077711357814,395,0.65,64.0,gini,-1
425,0.7058070025619129,840,0.9,87.0,entropy,-1
426,0.6964133219470539,944,0.7,35.0,gini,-1
427,0.7113578138343296,408,0.65,36.0,gini,-1
428,0.7053800170794193,949,0.75,73.0,gini,-1
429,0.71199829205807,702,0.5,88.0,entropy,-1
430,0.6998292058070026,251,0.65,57.0,gini,-1
431,0.702604611443211,930,0.9,24.0,gini,-1
432,0.7077284372331341,999,0.6,94.0,gini,-1
433,0.648804440649018,523,0.65,2.0,gini,-1
434,0.7066609735269,259,0.7,33.0,entropy,-1
435,0.6944918872758327,803,0.7,17.0,gini,-1
436,0.6889410760034159,859,0.65,6.0,entropy,-1
437,0.6970538001707942,73,0.75,26.0,entropy,-1
438,0.7070879590093937,728,0.5,28.0,entropy,-1
439,0.6942783945345858,152,0.5,29.0,gini,-1
440,0.6994022203245089,385,0.85,62.0,entropy,-1
441,0.6966268146883006,716,0.75,27.0,entropy,-1
442,0.7073014517506405,704,0.85,61.0,entropy,-1
443,0.6974807856532877,177,0.5,71.0,entropy,-1
444,0.6947053800170794,847,0.75,69.0,gini,-1
445,0.6823228010247652,842,0.75,4.0,entropy,-1
446,0.703672075149445,642,0.6,45.0,gini,-1
447,0.7060204953031597,287,0.7,30.0,gini,-1
448,0.6996157130657558,579,0.95,55.0,gini,-1
449,0.6953458582408198,273,0.95,64.0,entropy,-1
450,0.7094363791631084,715,0.9,57.0,gini,-1
451,0.7023911187019641,283,0.65,64.0,gini,-1
452,0.71199829205807,391,0.65,84.0,gini,-1
453,0.7043125533731853,938,0.95,63.0,gini,-1
454,0.701537147736977,307,0.8,17.0,entropy,-1
455,0.6957728437233134,236,0.8,66.0,gini,-1
456,0.7045260461144321,870,0.75,49.0,gini,-1
457,0.692997438087105,893,0.95,20.0,entropy,-1
458,0.6979077711357814,155,0.9,22.0,gini,-1
459,0.6874466268146883,21,0.7,25.0,entropy,-1
460,0.6910760034158838,562,0.65,98.0,gini,-1
461,0.7098633646456021,85,0.75,18.0,entropy,-1
462,0.7019641332194705,849,0.5,63.0,entropy,-1
463,0.7040990606319385,806,0.65,76.0,entropy,-1
464,0.705593509820666,662,0.7,68.0,entropy,-1
465,0.6985482493595218,635,0.5,43.0,gini,-1
466,0.7047395388556789,473,0.65,62.0,entropy,-1
467,0.6989752348420154,639,0.8,8.0,entropy,-1
468,0.7017506404782238,801,0.9,22.0,gini,-1
469,0.7060204953031597,378,0.65,61.0,entropy,-1
470,0.7122117847993168,950,0.5,44.0,gini,-1
471,0.6968403074295474,540,0.9,13.0,entropy,-1
472,0.7087959009393681,113,0.7,84.0,entropy,-1
473,0.6953458582408198,205,0.6,56.0,entropy,-1
474,0.7017506404782238,206,0.9,82.0,gini,-1
475,0.6998292058070026,141,0.6,38.0,entropy,-1
476,0.7083689154568744,950,0.95,70.0,gini,-1
477,0.6985482493595218,764,0.55,61.0,gini,-1
478,0.7047395388556789,381,0.7,54.0,gini,-1
479,0.6955593509820666,950,0.7,15.0,gini,-1
480,0.6968403074295474,628,0.95,95.0,entropy,-1
481,0.7008966695132366,394,0.55,97.0,gini,-1
482,0.7008966695132366,630,0.75,24.0,gini,-1
483,0.6902220324508966,843,0.75,4.0,entropy,-1
484,0.6953458582408198,318,0.95,43.0,entropy,-1
485,0.7051665243381725,774,0.5,42.0,entropy,-1
486,0.6994022203245089,437,0.55,37.0,gini,-1
487,0.7077284372331341,601,0.9,80.0,gini,-1
488,0.6925704526046115,522,0.95,26.0,gini,-1
489,0.7098633646456021,858,0.75,80.0,entropy,-1
490,0.6996157130657558,392,0.7,75.0,gini,-1
491,0.7083689154568744,541,0.65,99.0,gini,-1
492,0.7058070025619129,845,0.65,54.0,gini,-1
493,0.6964133219470539,54,0.95,26.0,entropy,-1
494,0.7013236549957301,85,0.85,81.0,entropy,-1
495,0.7062339880444065,793,0.95,67.0,gini,-1
