n_estimators,max_features,max_depth,criterion,n_jobs,accuracy
450,0.75,82.0,gini,-1,0.7078795643818065
49,0.7,55.0,gini,-1,0.6976297245355542
570,0.75,16.0,entropy,-1,0.709160794362588
562,0.7,52.0,entropy,-1,0.7085201793721974
60,0.8,70.0,entropy,-1,0.6985906470211403
875,0.55,14.0,entropy,-1,0.7072389493914157
819,0.6,2.0,entropy,-1,0.6547085201793722
906,0.6,72.0,gini,-1,0.7088404868673926
945,0.8,19.0,entropy,-1,0.7110826393337604
862,0.5,98.0,entropy,-1,0.7062780269058296
614,0.75,96.0,entropy,-1,0.7094811018577835
251,0.6,91.0,gini,-1,0.7072389493914157
75,0.65,72.0,entropy,-1,0.6992312620115311
534,0.7,88.0,entropy,-1,0.7088404868673926
100,0.6,86.0,entropy,-1,0.7011531069827034
659,0.7,76.0,gini,-1,0.7098014093529789
871,0.75,9.0,entropy,-1,0.7024343369634849
302,0.7,90.0,gini,-1,0.7075592568866111
259,0.9,90.0,entropy,-1,0.709160794362588
366,0.75,75.0,gini,-1,0.709160794362588
144,0.65,1.0,gini,-1,0.6460602178090967
538,0.9,7.0,entropy,-1,0.6960281870595771
827,0.6,62.0,entropy,-1,0.7069186418962203
253,0.7,41.0,entropy,-1,0.7120435618193466
489,0.85,,entropy,-1,0.7101217168481743
691,0.85,33.0,entropy,-1,0.7101217168481743
313,0.55,84.0,gini,-1,0.7130044843049327
93,0.65,25.0,entropy,-1,0.704996796925048
105,0.55,21.0,gini,-1,0.7005124919923126
479,0.6,44.0,entropy,-1,0.7136450992953235
645,0.6,76.0,gini,-1,0.7107623318385651
908,0.55,73.0,entropy,-1,0.7075592568866111
80,0.95,1.0,gini,-1,0.6460602178090967
706,0.5,80.0,gini,-1,0.7021140294682896
771,0.5,82.0,entropy,-1,0.7056374119154388
292,0.75,84.0,entropy,-1,0.708199871877002
504,0.9,12.0,entropy,-1,0.7114029468289558
188,0.6,54.0,entropy,-1,0.7069186418962203
657,0.55,96.0,gini,-1,0.7065983344010249
337,0.7,67.0,entropy,-1,0.7027546444586803
739,0.85,31.0,gini,-1,0.7107623318385651
339,0.95,74.0,entropy,-1,0.708199871877002
574,0.55,14.0,gini,-1,0.7027546444586803
851,0.65,98.0,gini,-1,0.7117232543241512
577,0.7,27.0,entropy,-1,0.7062780269058296
976,0.9,37.0,entropy,-1,0.7130044843049327
672,0.85,67.0,entropy,-1,0.704996796925048
696,0.5,24.0,entropy,-1,0.7088404868673926
284,0.5,6.0,gini,-1,0.6870595771941064
21,0.65,31.0,gini,-1,0.6912235746316464
898,0.95,40.0,entropy,-1,0.7085201793721974
922,0.75,61.0,gini,-1,0.7098014093529789
531,0.95,15.0,gini,-1,0.7069186418962203
212,0.85,41.0,entropy,-1,0.7114029468289558
443,0.8,57.0,entropy,-1,0.7104420243433697
279,0.95,49.0,gini,-1,0.7024343369634849
681,0.7,13.0,gini,-1,0.7098014093529789
329,0.55,34.0,entropy,-1,0.7069186418962203
40,0.8,22.0,gini,-1,0.6877001921844971
572,0.85,80.0,entropy,-1,0.709160794362588
555,0.75,38.0,gini,-1,0.7094811018577835
810,0.7,71.0,gini,-1,0.7104420243433697
231,0.85,79.0,entropy,-1,0.7088404868673926
247,0.6,47.0,gini,-1,0.7059577194106342
810,0.55,32.0,entropy,-1,0.7094811018577835
347,0.6,34.0,gini,-1,0.7033952594490711
569,0.65,21.0,entropy,-1,0.7104420243433697
931,0.6,26.0,entropy,-1,0.7120435618193466
586,0.6,95.0,gini,-1,0.709160794362588
910,0.7,31.0,entropy,-1,0.7120435618193466
908,0.75,87.0,entropy,-1,0.7075592568866111
486,0.7,68.0,entropy,-1,0.7088404868673926
639,0.9,8.0,gini,-1,0.6985906470211403
339,0.85,14.0,gini,-1,0.709160794362588
75,0.85,98.0,gini,-1,0.696668802049968
107,0.6,2.0,entropy,-1,0.6505445227418322
321,0.95,52.0,entropy,-1,0.7101217168481743
292,0.75,44.0,entropy,-1,0.7043561819346573
537,0.75,61.0,entropy,-1,0.7088404868673926
547,0.95,16.0,gini,-1,0.7101217168481743
563,0.8,98.0,entropy,-1,0.709160794362588
874,0.85,86.0,gini,-1,0.7114029468289558
353,0.7,49.0,entropy,-1,0.7072389493914157
90,0.7,23.0,entropy,-1,0.7001921844971173
568,0.6,38.0,entropy,-1,0.7040358744394619
350,0.5,32.0,entropy,-1,0.7133247918001281
713,0.75,59.0,gini,-1,0.7088404868673926
432,0.5,38.0,entropy,-1,0.7037155669442665
85,0.5,64.0,entropy,-1,0.6979500320307496
902,0.8,58.0,entropy,-1,0.708199871877002
805,0.85,61.0,entropy,-1,0.7130044843049327
293,0.55,36.0,entropy,-1,0.7101217168481743
355,0.5,23.0,entropy,-1,0.7075592568866111
586,0.5,19.0,entropy,-1,0.7078795643818065
536,0.85,74.0,gini,-1,0.7094811018577835
398,0.85,15.0,gini,-1,0.7085201793721974
598,0.65,33.0,gini,-1,0.7104420243433697
213,0.65,43.0,gini,-1,0.7021140294682896
310,0.7,54.0,entropy,-1,0.7130044843049327
684,0.5,81.0,entropy,-1,0.7078795643818065
264,0.9,53.0,entropy,-1,0.7085201793721974
664,0.9,92.0,gini,-1,0.708199871877002
666,0.55,18.0,gini,-1,0.7085201793721974
100,0.75,8.0,entropy,-1,0.6985906470211403
548,0.5,27.0,gini,-1,0.7069186418962203
75,0.65,37.0,entropy,-1,0.6992312620115311
416,0.8,95.0,entropy,-1,0.7056374119154388
18,0.75,94.0,gini,-1,0.6832158872517617
722,0.65,61.0,entropy,-1,0.7078795643818065
988,0.85,3.0,gini,-1,0.6620755925688662
621,0.85,48.0,gini,-1,0.7133247918001281
921,0.6,21.0,entropy,-1,0.7130044843049327
19,0.9,43.0,entropy,-1,0.6883408071748879
345,0.65,81.0,gini,-1,0.7101217168481743
566,0.55,16.0,entropy,-1,0.7078795643818065
110,0.7,62.0,gini,-1,0.7027546444586803
914,0.9,39.0,entropy,-1,0.7149263292761051
944,0.95,17.0,entropy,-1,0.7101217168481743
408,0.6,26.0,entropy,-1,0.7072389493914157
315,0.95,75.0,gini,-1,0.7126841768097374
211,0.55,42.0,entropy,-1,0.7033952594490711
827,0.6,12.0,gini,-1,0.7056374119154388
644,0.8,11.0,entropy,-1,0.700832799487508
306,0.8,56.0,entropy,-1,0.7085201793721974
958,0.95,83.0,entropy,-1,0.7101217168481743
699,0.6,15.0,gini,-1,0.7101217168481743
903,0.7,66.0,gini,-1,0.7101217168481743
790,0.8,,gini,-1,0.7094811018577835
538,0.6,35.0,entropy,-1,0.709160794362588
960,0.75,35.0,gini,-1,0.7117232543241512
415,0.55,67.0,gini,-1,0.7053171044202434
412,0.7,68.0,gini,-1,0.7146060217809097
482,0.5,75.0,gini,-1,0.7033952594490711
468,0.85,9.0,entropy,-1,0.6982703395259449
927,0.55,18.0,entropy,-1,0.7104420243433697
828,0.85,78.0,gini,-1,0.7094811018577835
118,0.8,76.0,gini,-1,0.7062780269058296
118,0.9,73.0,entropy,-1,0.704996796925048
395,0.7,5.0,gini,-1,0.6857783472133248
154,0.55,40.0,entropy,-1,0.7011531069827034
540,0.9,36.0,entropy,-1,0.7094811018577835
860,0.95,2.0,gini,-1,0.6486226777706599
607,0.75,52.0,entropy,-1,0.7085201793721974
988,0.5,27.0,entropy,-1,0.7056374119154388
918,0.95,55.0,entropy,-1,0.709160794362588
327,0.65,56.0,entropy,-1,0.7094811018577835
143,0.9,76.0,gini,-1,0.7024343369634849
349,0.75,,entropy,-1,0.7059577194106342
630,0.95,12.0,entropy,-1,0.7062780269058296
868,0.6,8.0,entropy,-1,0.6998718770019219
741,0.5,55.0,entropy,-1,0.7069186418962203
645,0.85,5.0,gini,-1,0.6860986547085202
657,0.85,33.0,gini,-1,0.7110826393337604
113,0.5,94.0,entropy,-1,0.7069186418962203
526,0.85,39.0,entropy,-1,0.7104420243433697
373,0.9,13.0,gini,-1,0.7075592568866111
466,0.6,35.0,entropy,-1,0.709160794362588
525,0.55,21.0,gini,-1,0.7075592568866111
586,0.65,46.0,entropy,-1,0.7085201793721974
459,0.65,84.0,gini,-1,0.7072389493914157
155,0.55,1.0,entropy,-1,0.6460602178090967
691,0.6,79.0,gini,-1,0.7078795643818065
106,0.8,12.0,entropy,-1,0.7043561819346573
910,0.55,75.0,gini,-1,0.7078795643818065
720,0.5,8.0,entropy,-1,0.6979500320307496
883,0.9,73.0,gini,-1,0.712363869314542
169,0.7,77.0,entropy,-1,0.7130044843049327
171,0.5,23.0,gini,-1,0.7069186418962203
137,0.9,86.0,gini,-1,0.7062780269058296
309,0.5,26.0,gini,-1,0.704996796925048
896,0.95,84.0,entropy,-1,0.7098014093529789
527,0.5,6.0,entropy,-1,0.6864189622037156
727,0.65,45.0,entropy,-1,0.7085201793721974
939,0.95,89.0,entropy,-1,0.7126841768097374
282,0.7,37.0,gini,-1,0.7046764894298526
344,0.9,21.0,gini,-1,0.7069186418962203
761,0.75,21.0,entropy,-1,0.7101217168481743
809,0.65,21.0,entropy,-1,0.7107623318385651
767,0.9,29.0,gini,-1,0.7085201793721974
533,0.95,75.0,entropy,-1,0.7072389493914157
789,0.75,91.0,entropy,-1,0.7104420243433697
898,0.85,58.0,entropy,-1,0.7104420243433697
82,0.7,76.0,gini,-1,0.6937860345932095
797,0.85,70.0,entropy,-1,0.712363869314542
97,0.65,36.0,entropy,-1,0.7072389493914157
474,0.55,94.0,gini,-1,0.7046764894298526
424,0.8,80.0,gini,-1,0.7078795643818065
28,0.65,8.0,gini,-1,0.6957078795643818
885,0.95,35.0,gini,-1,0.7069186418962203
987,0.9,8.0,gini,-1,0.6998718770019219
865,0.7,17.0,entropy,-1,0.7069186418962203
57,0.9,15.0,entropy,-1,0.700832799487508
400,0.95,88.0,entropy,-1,0.7062780269058296
698,0.85,4.0,entropy,-1,0.6707238949391415
50,0.6,77.0,gini,-1,0.6947469570787956
986,0.9,7.0,gini,-1,0.6982703395259449
438,0.6,1.0,entropy,-1,0.6460602178090967
107,0.55,6.0,entropy,-1,0.6860986547085202
237,0.85,34.0,entropy,-1,0.7021140294682896
944,0.85,20.0,entropy,-1,0.7114029468289558
60,0.9,62.0,entropy,-1,0.6976297245355542
